content_id,client_id,baseline_score,reason_code,impressions_90d,ctr,days_since_last_update,is_declining_label
content_c0b15fff982f,client_d029fa3a95,0,no_flag,12,0.0,20,1
content_e065bb9a28c5,client_e29c9c180c,0,no_flag,6,0.0,20,0
content_711fce0165b4,client_a88a7902cb,0,no_flag,513,0.19,20,0
content_f80cf21a9b44,client_7f2253d7e2,0,no_flag,6471,1.48,20,1
content_e6fc1f472801,client_d4735e3a26,0,no_flag,14,7.14,20,0
content_aa9d3a51bb6d,client_a88a7902cb,0,no_flag,20,0.0,20,1
content_a783faba7826,client_19581e27de,0,no_flag,12001,0.53,104,1
content_dfcfcd15b4d3,client_8722616204,0,no_flag,1,0.0,104,0
content_99fd29e602b6,client_e629fa6598,0,no_flag,282,0.0,22,0
content_b77fa82a63b8,client_4e07408562,0,no_flag,3457,0.14,14,1
content_659479bf8d74,client_4e07408562,0,no_flag,60021,0.17,25,0
content_0a57fc95c688,client_9f14025af0,0,no_flag,79,0.0,20,0
content_38f83eafa240,client_3fdba35f04,0,low_ctr_visible_page,2027,0.05,20,1
content_dbc67d72987b,client_19581e27de,0,no_flag,12413,0.44,104,0
content_7534ddef1f66,client_19581e27de,0,no_flag,22380,0.61,20,0
content_660dff42ecc1,client_f74efabef1,0,no_flag,12079,1.01,20,0
content_a1df6b53ac4d,client_d59eced1de,0,no_flag,1,0.0,104,0
content_0a161787bb28,client_f369cb89fc,0,no_flag,1006,1.69,20,0
content_cb6f92af5cd1,client_6208ef0f77,0,no_flag,8496,1.65,104,0
content_d5914cd8c53e,client_f369cb89fc,0,no_flag,736,0.82,20,1
content_3bbc4345a69f,client_19581e27de,0,low_ctr_visible_page,1517,0.0,22,0
content_a7b1d2a00de5,client_19581e27de,0,no_flag,1924,0.1,22,0
content_d9fd8bb80909,client_4e07408562,0,low_ctr_visible_page,1371,0.0,104,1
content_f6037d96b81a,client_f369cb89fc,0,no_flag,805,0.75,20,1
content_21db40411fd7,client_6208ef0f77,0,no_flag,8143,0.14,104,1
content_73c77ab3f545,client_19581e27de,0,no_flag,3861,0.1,104,1
content_f3b57cc4e81a,client_4ec9599fc2,0,no_flag,175,0.0,104,0
content_ec451307f2c6,client_d4735e3a26,0,no_flag,1,0.0,20,0
content_ce89c78c756e,client_3fdba35f04,0,low_ctr_visible_page,3573,0.03,104,1
content_ae5db80d77a5,client_6208ef0f77,0,no_flag,73588,0.16,104,0
content_556c5e4eb2de,client_4e07408562,0,no_flag,14475,0.29,14,1
content_53ad4abfaa92,client_19581e27de,0,low_ctr_visible_page,1633,0.0,22,0
content_6c80cf1e44d2,client_2c624232cd,0,no_flag,126,0.0,22,1
content_d1a340f82c02,client_4ec9599fc2,0,no_flag,65,0.0,20,1
content_628818a4da4d,client_19581e27de,0,low_ctr_visible_page,643,0.0,104,1
content_ec18f2963a55,client_a88a7902cb,0,no_flag,4,0.0,28,0
content_646483666d1d,client_f74efabef1,0,low_ctr_visible_page,1871,0.05,20,0
content_e7c38fcbfed1,client_d4735e3a26,0,no_flag,1,0.0,20,0
content_b40c9f8c3e06,client_e629fa6598,0,no_flag,30,0.0,22,0
content_d1c95f78ee41,client_6208ef0f77,0,no_flag,1652,0.12,20,0
content_ed8d3d6827b7,client_a88a7902cb,0,low_ctr_visible_page,653,0.0,20,1
content_75add30fc7d7,client_3fdba35f04,0,no_flag,106,0.0,41,0
content_b25bf13c47ce,client_19581e27de,0,no_flag,265,0.38,22,1
content_1243ed56b082,client_e629fa6598,0,no_flag,33,0.0,20,1
content_c597b55dcad2,client_19581e27de,0,no_flag,2378,0.29,20,1
content_070d27645460,client_a88a7902cb,0,no_flag,130,0.0,28,1
content_5e2a1d78391f,client_f369cb89fc,0,no_flag,38,0.0,20,1
content_36b9bac1e6f1,client_6208ef0f77,0,no_flag,11284,1.0,104,0
content_bf6cfa113390,client_19581e27de,0,no_flag,1146,0.35,104,1
content_91ebaad39a3f,client_f369cb89fc,0,no_flag,136,3.68,20,0
content_c0d5d45fdcde,client_19581e27de,0,low_ctr_visible_page,13548,0.02,104,0
content_4fc0f748ecf0,client_19581e27de,0,no_flag,3654,0.19,22,0
content_17c1e48ab908,client_19581e27de,0,no_flag,13344,0.25,22,1
content_ec3e95cc28bf,client_3fdba35f04,0,no_flag,6072,0.16,20,1
content_b4dc66bdc268,client_19581e27de,0,low_ctr_visible_page,1906,0.05,104,0
content_d1f4cabf9c17,client_19581e27de,0,no_flag,2042,0.2,104,0
content_407ed508bab5,client_8722616204,0,no_flag,16,0.0,8,1
content_3d522349ef4d,client_f369cb89fc,0,no_flag,315,0.32,20,1
content_11bc0410d988,client_4e07408562,0,no_flag,2219,0.09,104,0
content_8df036e4a882,client_19581e27de,0,no_flag,8228,0.13,104,1
content_38c564400f65,client_4e07408562,0,no_flag,2595,0.12,13,1
content_b2324a5afba2,client_f74efabef1,0,low_ctr_visible_page,1121,0.0,20,0
content_440d894b5ba6,client_3fdba35f04,0,no_flag,391,0.26,104,0
content_a7d58e84079e,client_bbb965ab0c,0,no_flag,498,0.0,15,1
content_89fcb6f35525,client_6208ef0f77,0,no_flag,174408,0.56,104,1
content_c15de66f6851,client_a88a7902cb,0,no_flag,307,0.65,20,1
content_86a453a1aafa,client_19581e27de,0,no_flag,10583,0.07,22,1
content_00d7d2d7958e,client_19581e27de,0,low_ctr_visible_page,537,0.0,22,0
content_35e6edbb0a2d,client_349c41201b,0,no_flag,3115,0.16,20,0
content_71f598d2f965,client_f369cb89fc,0,no_flag,1,0.0,20,0
content_c7bea9393329,client_19581e27de,0,no_flag,1705,0.12,22,0
content_2905b598c35d,client_6208ef0f77,0,no_flag,39207,0.07,104,1
content_16ecc826236e,client_19581e27de,0,no_flag,4712,0.08,20,0
content_65e979ff69d9,client_6208ef0f77,0,no_flag,2949,0.37,20,1
content_bf33753aa0e3,client_a88a7902cb,0,no_flag,98,0.0,20,0
content_baff44d8d0a8,client_f74efabef1,0,no_flag,267,0.75,20,0
content_45422b0aff7b,client_a88a7902cb,0,no_flag,10,0.0,8,1
content_74652d21d350,client_9f14025af0,0,no_flag,55,0.0,20,0
content_27806249a156,client_6208ef0f77,0,low_ctr_visible_page,5123,0.04,104,0
content_6c8fbfdf1b6a,client_6208ef0f77,0,no_flag,947,0.11,104,0
content_e36a6e98f705,client_6208ef0f77,0,no_flag,154,0.0,104,1
content_b84a5df88090,client_f369cb89fc,0,low_ctr_visible_page,3699,0.03,20,0
content_6a49598f4e73,client_f74efabef1,0,no_flag,38,0.0,8,1
content_0718b5188109,client_4e07408562,0,no_flag,773,0.13,13,0
content_898cc0d1d0ca,client_8527a891e2,0,no_flag,6,0.0,104,0
content_ad493c96737e,client_19581e27de,0,no_flag,16811,0.61,104,0
content_f6cd991698ec,client_7f2253d7e2,0,no_flag,2809,1.35,20,1
content_ca0543268f58,client_3fdba35f04,0,low_ctr_visible_page,1852,0.0,19,1
content_dcaed25f4272,client_7f2253d7e2,0,no_flag,1966,0.25,96,1
content_61f1696827fb,client_a88a7902cb,0,no_flag,18,0.0,8,1
content_a3398a764ac5,client_19581e27de,0,no_flag,53,0.0,104,1
